address,state,provAbortion
"7232 Van Nuys Blvd. Suite 202, Van Nuys, CA 91405",CA,Provides Abortions
"1990 Central Park Avenue, Yonkers, NY 10710",NY,Provides Abortions
"400-B Crutchfield Street, Durham, NC, 27704",NC,Provides Abortions
"2412 West Plaza Drive, Tallahassee, FL 32308",FL,Provides Abortions
"2127 State Road, Cuyahoga Falls, OH 44223",OH,Provides Abortions
"3461 Warrensville Center Rd. Suite 202, Shaker Heights, OH 44122",OH,Provides Abortions
"24450 Evergreen Road, Suite 220, Southfield, MI, 48075",MI,Provides Abortions
"3810 17 Mile Rd., Suite 1, Sterling Heights, MI, 48310",MI,Provides Abortions
"35000 Ford Rd., Suite 3, Westland, MI, 48185",MI,Provides Abortions
"8363 Meadow Road, Dallas, TX 75231",TX,Provides Abortions
"79-01 Broadway, Elmhurst, NY 11373",NY,Provides Abortions
"462 First Avenue (New Ambulatory Care Building), 4th Floor, Room 4023, New York, NY 10016",NY,Provides Abortions
"2601 Ocean Parkway, Brooklyn, NY 11235",NY,Provides Abortions
"506 Lenox Avenue, New York, NY 10037",NY,Provides Abortions
"1400 Pelham Parkway South, Bldg. 5, 7th Floor, Bronx, NY 10461",NY,Provides Abortions
"451 Clarkson Avenue, E Building, Brooklyn, NY 11203",NY,Provides Abortions
"234 East 149th Street, Bronx, NY 10451",NY,Provides Abortions
"1901 First Avenue, New York, NY 10029",NY,Provides Abortions
"3424 Kossuth Avenue, Bronx, NY 10467",NY,Provides Abortions
"6210 Old National Highway, College Park, GA 30349",GA,Provides Abortions
"102 Candlewood Commons, Howell, NJ 07731",NJ,Provides Abortions
"1024 Park Avenue, Suite 4, Plainfield, NJ 07060",NJ,Provides Abortions
"2001 W. Oakland Park Blvd., Ft. Lauderdale, FL 33311",FL,Provides Abortions
"1103 Lucerne Terrace, Orlando, FL 32806",FL,Provides Abortions
"502 South Magnolia Avenue, Tampa, FL 33606",FL,Provides Abortions
"2100 Webster Street, Suite 319, San Francisco, CA 94115",CA,Provides Abortions
"800 2nd Avenue, Suite 605, New York, NY 10017",NY,Provides Abortions
"4500 East 9th Avenue, Suite 700, Denver, CO 80246",CO,Provides Abortions
"10758A Jefferson Avenue, Newport News, VA 23601",VA,Provides Abortions
"Hospital of the University of Pennsylvania, 1 Ravdin, 3400 Spruce Street, Philadelphia, PA 19104",PA,Provides Abortions
"Penn Medicine Washington Square 10th Floor, 800 Walnut Street, Philadelphia, PA 19107",PA,Provides Abortions
"777 Appletree Street, 7th Floor, Philadelphia, PA 19106",PA,Provides Abortions
"393 Bloomfield Avenue, Montclair, NJ 07042",NJ,Provides Abortions
"900 Ferry St. Wenatchee, WA 98801",WA,Provides Abortions
"2500 S. Woodlands Village Blvd, Flagstaff, AZ 86001",AZ,Provides Abortions
"5771 W. Eugie, Glendale, AZ 85304",AZ,Provides Abortions
"2255 N. Wyatt Dr., Tuscon, AZ 85712",AZ,Provides Abortions
"1837 E Baseline Rd, Tempe, AZ 85283",AZ,Provides Abortions
"160 South 1000 East, Suite 120, Salt Lake City, UT 84102",UT,Provides Abortions
"743 Pismo Street, San Luis Obispo, CA 93401",CA,Provides Abortions
"518 Garden Street, Santa Barbara, CA 93101",CA,Provides Abortions
"415 E Chapel Street, Santa Maria, CA 93454",CA,Provides Abortions
"1200 W. Hillcrest Dr., Thousand Oaks, CA 91320",CA,Provides Abortions
"5400 Ralston Street, Ventura, CA 93003",CA,Provides Abortions
"4600 Gulf Freeway, Ste. 300, Houston, TX 77023",TX,Provides Abortions
"12614 Southwest Freeway, Suite A, Stafford, TX 77477",TX,Provides Abortions
"12220 SW First St., Suite 200, Beaverton, OR 97005",OR,Provides Abortions
"2330 NE Division St., Suite 7, Bend, OR 97703",OR,Provides Abortions
"14411 SE McLoughlin Blvd, Milwaukie, OR 97267",OR,Provides Abortions
"3727 NE Martin Luther King Jr. Boulevard, Portland, OR 97212",OR,Provides Abortions
"3825 Wolverine St., NE, Salem, OR 97305",OR,Provides Abortions
"11516 SE Mill Plain Blvd, Vancouver, WA 98684",WA,Provides Abortions
"1501 Aldersgate Rd. Little Rock, AR 72205",AR,Provides Abortions
"755 New York Ave, Huntington, NY 11743",NY,Provides Abortions
"6 Gramatan Avenue, 4th Floor, Mt. Vernon, NY 10550",NY,Provides Abortions
"247-249 North Ave, New Rochelle, NY 10801",NY,Provides Abortions
"450 Waverly Ave, Patchogue, NY 11772",NY,Provides Abortions
"877 E Main Street, Ste. 109, Riverhead, NY 11901",NY,Provides Abortions
"70 Maple Ave, Smithtown, NY 11787",NY,Provides Abortions
"25 Perlman Drive, Spring Valley, NY 10977",NY,Provides Abortions
"180 Sunrise Highway, West Islip, NY 11795",NY,Provides Abortions
"175 Tarrytown Road, White Plains, NY 10607",NY,Provides Abortions
"20 S Broadway, Yonkers, NY 10701",NY,Provides Abortions
"29 North Ninth Street, Allentown, PA 18101",PA,Provides Abortions
"1514 North Second Street, Harrisburg, PA 17102",PA,Provides Abortions
"48 South Fourth Street, Reading, PA 19602",PA,Provides Abortions
"610 Louis Drive, Warminster, PA 18974",PA,Provides Abortions
"101 N. Main Street, Wilkes-Barre, PA 18701",PA,Provides Abortions
"728 South Beaver St, York, PA 17401",PA,Provides Abortions
"470 Pleasant Street, Worcester, MA 01609",MA,Provides Abortions
"1055 Commonwealth Avenue, Boston, MA 02215",MA,Provides Abortions
"3550 Main Street, Suite 201, Springfield, MA 01107",MA,Provides Abortions
"533 E. Palmdale Boulevard, Ste. 533-A1, Palmdale, CA 93550",CA,Provides Abortions
"1057 Kingston Avenue, Los Angeles, CA 90033",CA,Provides Abortions
"916 W Burbank Blvd. #M, Burbank, CA 91506",CA,Provides Abortions
"21001 Sherman Way #9, Canoga Park, CA 91303",CA,Provides Abortions
"661 East University Drive, Carson, CA 90746",CA,Provides Abortions
"4402 East Compton Blvd Suite #104, Compton, CA 90221",CA,Provides Abortions
"8520 So. Broadway, Los Angeles, CA 90003",CA,Provides Abortions
"5068 Whittier Blvd, Los Angeles, CA 90022",CA,Provides Abortions
"4786 N. Peck Rd, Ste. B, El Monte, CA 91732",CA,Provides Abortions
"1014 1/2 N Vermont Ave, Los Angeles, CA 90029",CA,Provides Abortions
"7655 Greenleaf Ave, Whittier, CA 90602",CA,Provides Abortions
"5525 E Del Amo Blvd., Lakewood, CA 90713",CA,Provides Abortions
"2690 Pacific Avenue, STE 370, Long Beach, CA 90806",CA,Provides Abortions
"1550 N Garey Ave, Pomona, CA 91767",CA,Provides Abortions
"400 West 30th St, Los Angeles, CA 90007",CA,Provides Abortions
"1316 3rd Street Promenade, Suite 201, Santa Monica, CA 90401",CA,Provides Abortions
"14623 Hawthorne Blvd #300, Lawndale, CA 90260",CA,Provides Abortions
"7100 Van Nuys Blvd., Suite 108, Van Nuys, CA 91405",CA,Provides Abortions
"825 N. San Vicente Blvd., West Hollywood, CA 90069",CA,Provides Abortions
"201 29th Street, Ste. B, Sacramento, CA 95816",CA,Provides Abortions
"2633 16th Street, Bakersfield, CA 93301",CA,Provides Abortions
"5440 Thornwood Drive, San Jose, CA 95123",CA,Provides Abortions
"8480 Enterprise Way, Oakland, CA 94621",CA,Provides Abortions
"678 N Wilson Way #G, Stockton, CA 95205",CA,Provides Abortions
"3131 Alum Rock Avenue, San Jose, CA 95127",CA,Provides Abortions
"6095 N. 1st Street, Fresno, CA 93710",CA,Provides Abortions
"455 W. 5th Street Reno, NV 89503",NV,Provides Abortions
"5385 Franklin Blvd., Suite A-D, Sacramento, CA 95820",CA,Provides Abortions
"650 N. Fulton Street, Fresno, CA 93728",CA,Provides Abortions
"760 Renz Lane, Gilroy, CA 95020",CA,Provides Abortions
"1032 A Street, Hayward, CA 94541",CA,Provides Abortions
"500 E. Almond Suite #1, Madera, CA 93637",CA,Provides Abortions
"3166 Collins Dr., Merced, CA 95348",CA,Provides Abortions
"2500 California Street, Mountain View, CA 94040",CA,Provides Abortions
"5700 Watt Ave., North Highlands, CA 95660",CA,Provides Abortions
"4555 Precissi Lane, Stockton, CA 95207",CA,Provides Abortions
"2907 El Camino Real, Redwood City , CA 94061",CA,Provides Abortions
"729 Sunrise Ave. Suite 900, Roseville, CA 95661",CA,Provides Abortions
"316 N. Main Street, Salinas, CA 93901",CA,Provides Abortions
"1691 The Alameda, San Jose, CA 95126",CA,Provides Abortions
"29 Baywood Ave, San Mateo, CA 94402",CA,Provides Abortions
"625 Hilby Ave, Seaside, CA 93955",CA,Provides Abortions
"435 Grand Avenue, South San Francisco, CA 94080",CA,Provides Abortions
"1441 N. Tracy Blvd., Tracy, CA 95376",CA,Provides Abortions
"398 South Green Valley Road, Watsonville, CA 95076",CA,Provides Abortions
"1682 7th Street, Oakland, CA 94607",CA,Provides Abortions
"1119 Pacific Ave. Suite 200, Santa Cruz, CA 95060",CA,Provides Abortions
"520 Cottonwood Street, Suite 10, Woodland, CA 95695",CA,Provides Abortions
