address,city,county,state,latitude,longitude,stateFIPS,GEOID
"288 Groveland Street, Haverhill, MA 01830",Haverhill,Essex County,MA,42.767572,-71.047169,25,25009
"2500 H St., Bakersfield, CA 93701",Bakersfield,Kern County,CA,35.382248,-119.020809,6,6029
"7023 Owensmouth Ave, Canoga Park, CA 91303",Canoga Park,Los Angeles County,CA,34.198035,-118.601723,6,6037
"8635 Firestone Blvd, Ste 100, Downey, CA 90241",Downey,Los Angeles County,CA,33.937445,-118.126092,6,6037
"4922 East Whittier Blvd, East Los Angeles, CA 90022",Los Angeles,Los Angeles County,CA,34.021429,-118.163066,6,6037
"1625 E Main St #202, El Cajon, CA 92021",El Cajon,San Diego County,CA,32.809483,-116.91968,6,6073
"165 N. Clark Street, Fresno, CA 93701",Fresno,Fresno County,CA,36.744694,-119.786861,6,6019
"372 W. Arden Ave #200, Glendale, CA 91203",Glendale,Los Angeles County,CA,34.158147,-118.261151,6,6037
"301 N Prairie Ave Suite 611, Inglewood, CA 90301",Inglewood,Los Angeles County,CA,33.965715,-118.344353,6,6037
"2777 Long Beach Blvd, #200, Long Beach, CA 90806",Long Beach,Los Angeles County,CA,33.807315,-118.189662,6,6037
"601 S. Westmoreland Ave, Los Angeles, CA 90005",Los Angeles,Los Angeles County,CA,34.06347,-118.2886,6,6037
"10200 Sepulveda Blvd, Ste #200, Mission Hills, CA 91345",Mission Hills,Los Angeles County,CA,34.255299,-118.4673,6,6037
"2030 Coffee Rd. Ste A-1, Modesto, CA 95355",Modesto,Stanislaus County,CA,37.672971,-120.975368,6,6099
"400 29th St, Ste #301, Oakland, CA 94609",Oakland,Alameda County,CA,37.818111,-122.26522,6,6001
"1700 Lombard St #110, Oxnard, CA 93030",Oxnard,Ventura County,CA,34.217133,-119.148638,6,6111
"1996 Indian Hill Blvd, Pomona, CA 91767",Pomona,Los Angeles County,CA,34.079191,-117.718916,6,6037
"3660 Park Sierra Dr., Ste #202, Riverside, CA 92503",Riverside,Riverside County,CA,33.902924,-117.471397,6,6065
"2322 Butano Dr #205, Sacramento, CA 95825",Sacramento,Sacramento County,CA,38.606374,-121.381465,6,6067
"855 E. Hospitality Ln., San Bernardino, CA 92408",San Bernardino,San Bernardino County,CA,34.068537,-117.267386,6,6071
"2100 Forest Ave #108, San Jose, CA 95128",San Jose,Santa Clara County,CA,37.326483,-121.936766,6,6085
